trial_index,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge
212,html-slider-response,0.0,13,q,,Default,BEGINWalktoback,BEGINWalktofront,False,60.0,7.0,5.0,58.333333333333336,41.66666666666667,40.0,41.666666666666664,58.33333333333333
213,instructions,,13,s,Walktoback,,,,,,118.0,118.0,50.0,50.0,,,
214,html-slider-response,0.0,13,q,,Default,WalktobackStepinfront,WalktobackSayexcuseme,False,40.0,6.0,1.0,85.71428571428571,14.285714285714285,60.0,14.285714285714292,85.71428571428572
215,instructions,,13,s,Stepinfront,,,,,,119.0,119.0,50.0,50.0,,,
216,html-slider-response,0.0,13,q,,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,3.0,3.0,50.0,50.0,0.0,50.0,50.0
217,instructions,,13,s,Ignore,,,,,,120.0,120.0,50.0,50.0,,,
218,html-slider-response,100.0,13,q,,Default,IgnoreXstare,IgnoreTurntobarista,True,66.0,1.0,1.0,50.0,50.0,66.0,50.0,50.0
219,instructions,,13,s,Xstare,,,,,,121.0,121.0,50.0,50.0,,,
220,html-slider-response,0.0,13,q,,Permute,XstareDessertcrumble,XstareDessertcrumble,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0
221,instructions,,13,s,Dessertcrumble,,,,,,122.0,122.0,50.0,50.0,,,
222,html-slider-response,100.0,13,q,,Alter,DessertcrumbleBaristaorders,DessertcrumbleBaristaorders,True,100.0,6.0,6.0,50.0,50.0,100.0,50.0,50.0
223,instructions,,13,s,Baristaorders,,,,,,123.0,123.0,50.0,50.0,,,
224,html-slider-response,0.0,13,q,,Default,BaristaordersHatecoffee,BaristaordersLovejuice,True,30.0,1.0,7.0,12.5,87.5,30.0,12.5,87.5
225,instructions,,13,s,Hatecoffee,,,,,,124.0,124.0,50.0,50.0,,,
226,instructions,,13,s,END,,,,,,125.0,125.0,50.0,50.0,,,
227,instructions,,14,s,BEGIN,,,,,,126.0,126.0,50.0,50.0,,,
228,instructions,,14,s,Walktofront,,,,,,127.0,127.0,50.0,50.0,,,
229,html-slider-response,0.0,14,q,,Default,WalktofrontSayexcuseme,WalktofrontStepinfront,True,50.0,1.0,4.0,20.0,80.0,50.0,20.0,80.0
230,instructions,,14,s,Sayexcuseme,,,,,,128.0,128.0,50.0,50.0,,,
231,html-slider-response,0.0,14,q,,Default,SayexcusemeSubjectstares,SayexcusemeShove,False,55.0,1.0,2.0,33.33333333333333,66.66666666666666,45.0,66.66666666666667,33.33333333333334
232,instructions,,14,s,Subjectstares,,,,,,129.0,129.0,50.0,50.0,,,
233,html-slider-response,100.0,14,q,,Default,SubjectstaresTurntobarista,SubjectstaresXshove,True,66.0,4.0,2.0,66.66666666666666,33.33333333333333,66.0,66.66666666666666,33.33333333333333
234,instructions,,14,s,Turntobarista,,,,,,130.0,130.0,50.0,50.0,,,
235,html-slider-response,100.0,14,q,,Permute,TurntobaristaDessertcrumble,TurntobaristaDessertcrumble,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0
236,instructions,,14,s,Dessertcrumble,,,,,,131.0,131.0,50.0,50.0,,,
237,html-slider-response,100.0,14,q,,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,False,90.0,7.0,2.0,77.77777777777779,22.22222222222222,10.0,22.222222222222214,77.77777777777777
238,instructions,,14,s,Baristaorders,,,,,,132.0,132.0,50.0,50.0,,,
239,html-slider-response,0.0,14,q,,Default,BaristaordersLovejuice,BaristaordersHatecoffee,False,70.0,7.0,2.0,77.77777777777779,22.22222222222222,30.0,22.222222222222214,77.77777777777777
240,instructions,,14,s,Lovejuice,,,,,,133.0,133.0,50.0,50.0,,,
241,html-slider-response,100.0,14,q,,Alter,LovejuiceEND,LovejuiceEND,True,100.0,7.0,7.0,50.0,50.0,100.0,50.0,50.0
242,instructions,,14,s,END,,,,,,134.0,134.0,50.0,50.0,,,
