,trial_type,response,story_pass,s_or_q,state,qtype,edge,altedge,slider_true_right,objective_pr,edge_count,altedge_count,ex_pr_edge,ex_pr_altedge,resp_objective,resp_ex_pr_edge,resp_ex_pr_altedge,response_right,response_objective_right,response_experienced_right,correct
38,html-slider-response,0.0,2,q,Stepinfront,Alter,StepinfrontIgnore,StepinfrontIgnore,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
39,instructions,,2,s,Ignore,,,,,,21.0,21.0,50.0,50.0,,,,False,False,False,True
40,html-slider-response,0.0,2,q,Ignore,Permute,IgnoreXstare,IgnoreXstare,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0,False,True,True,False
41,instructions,,2,s,Xstare,,,,,,22.0,22.0,50.0,50.0,,,,False,False,False,True
42,html-slider-response,100.0,2,q,Xstare,Default,XstareDessertcrumble,XstareCreamsplash,True,50.0,2.0,0.0,100.0,0.0,50.0,100.0,0.0,True,True,True,True
43,instructions,,2,s,Dessertcrumble,,,,,,23.0,23.0,50.0,50.0,,,,False,False,False,True
44,html-slider-response,0.0,2,q,Dessertcrumble,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,True,90.0,0.0,2.0,0.0,100.0,90.0,0.0,100.0,False,True,False,False
45,instructions,,2,s,Baristaorders,,,,,,24.0,24.0,50.0,50.0,,,,False,False,False,True
46,html-slider-response,100.0,2,q,Baristaorders,Default,BaristaordersHatecoffee,BaristaordersLovejuice,True,30.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,True,True,False,True
47,instructions,,2,s,Hatecoffee,,,,,,25.0,25.0,50.0,50.0,,,,False,False,False,True
48,html-slider-response,0.0,2,q,Hatecoffee,Alter,HatecoffeeEND,HatecoffeeEND,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
49,instructions,,2,s,END,,,,,,26.0,26.0,50.0,50.0,,,,False,False,False,True
50,instructions,,3,s,BEGIN,,,,,,27.0,27.0,50.0,50.0,,,,False,False,False,True
51,html-slider-response,100.0,3,q,BEGIN,Default,BEGINWalktoback,BEGINWalktofront,False,60.0,1.0,1.0,50.0,50.0,40.0,50.0,50.0,True,True,True,True
52,instructions,,3,s,Walktoback,,,,,,28.0,28.0,50.0,50.0,,,,False,False,False,True
53,html-slider-response,0.0,3,q,Walktoback,Default,WalktobackStepinfront,WalktobackSayexcuseme,True,40.0,2.0,0.0,100.0,0.0,40.0,100.0,0.0,False,True,True,False
54,instructions,,3,s,Stepinfront,,,,,,29.0,29.0,50.0,50.0,,,,False,False,False,True
55,instructions,,3,s,Shove,,,,,,30.0,30.0,50.0,50.0,,,,False,False,False,True
56,html-slider-response,0.0,3,q,Shove,Permute,ShoveXshove,ShoveXshove,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,False,True,False,False
57,instructions,,3,s,Xshove,,,,,,31.0,31.0,50.0,50.0,,,,False,False,False,True
58,html-slider-response,0.0,3,q,Xshove,Permute,XshoveDessertcrumble,XshoveDessertcrumble,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False,False,True,True
59,instructions,,3,s,Dessertcrumble,,,,,,32.0,32.0,50.0,50.0,,,,False,False,False,True
60,html-slider-response,0.0,3,q,Dessertcrumble,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,False,90.0,1.0,2.0,33.33333333333333,66.66666666666666,10.0,66.66666666666667,33.33333333333334,False,True,True,False
61,instructions,,3,s,Baristaorders,,,,,,33.0,33.0,50.0,50.0,,,,False,False,False,True
62,html-slider-response,0.0,3,q,Baristaorders,Default,BaristaordersLovejuice,BaristaordersHatecoffee,True,70.0,0.0,1.0,0.0,100.0,70.0,0.0,100.0,False,True,False,False
63,instructions,,3,s,Lovejuice,,,,,,34.0,34.0,50.0,50.0,,,,False,False,False,True
64,html-slider-response,0.0,3,q,Lovejuice,Alter,LovejuiceEND,LovejuiceEND,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,False,True,False,False
65,instructions,,3,s,END,,,,,,35.0,35.0,50.0,50.0,,,,False,False,False,True
66,instructions,,4,s,BEGIN,,,,,,36.0,36.0,50.0,50.0,,,,False,False,False,True
67,html-slider-response,0.0,4,q,BEGIN,Default,BEGINWalktoback,BEGINWalktofront,False,60.0,2.0,1.0,66.66666666666666,33.33333333333333,40.0,33.33333333333334,66.66666666666667,False,True,True,False
68,instructions,,4,s,Walktoback,,,,,,37.0,37.0,50.0,50.0,,,,False,False,False,True
69,instructions,,4,s,Sayexcuseme,,,,,,38.0,38.0,50.0,50.0,,,,False,False,False,True
70,html-slider-response,0.0,4,q,Sayexcuseme,Default,SayexcusemeShove,SayexcusemeSubjectstares,True,44.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,False,True,False,False
71,instructions,,4,s,Shove,,,,,,39.0,39.0,50.0,50.0,,,,False,False,False,True
72,html-slider-response,0.0,4,q,Shove,Permute,ShoveXshove,ShoveXshove,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
73,instructions,,4,s,Xshove,,,,,,40.0,40.0,50.0,50.0,,,,False,False,False,True
74,html-slider-response,100.0,4,q,Xshove,Permute,XshoveDessertcrumble,XshoveDessertcrumble,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
75,instructions,,4,s,Dessertcrumble,,,,,,41.0,41.0,50.0,50.0,,,,False,False,False,True
76,html-slider-response,100.0,4,q,Dessertcrumble,Alter,DessertcrumbleBaristaorders,DessertcrumbleBaristaorders,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
77,instructions,,4,s,Baristaorders,,,,,,42.0,42.0,50.0,50.0,,,,False,False,False,True
78,instructions,,4,s,Lovejuice,,,,,,43.0,43.0,50.0,50.0,,,,False,False,False,True
79,html-slider-response,0.0,4,q,Lovejuice,Alter,LovejuiceEND,LovejuiceEND,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
80,instructions,,4,s,END,,,,,,44.0,44.0,50.0,50.0,,,,False,False,False,True
81,instructions,,5,s,BEGIN,,,,,,45.0,45.0,50.0,50.0,,,,False,False,False,True
82,html-slider-response,100.0,5,q,BEGIN,Default,BEGINWalktofront,BEGINWalktoback,False,40.0,1.0,3.0,25.0,75.0,60.0,75.0,25.0,True,True,True,True
83,instructions,,5,s,Walktofront,,,,,,46.0,46.0,50.0,50.0,,,,False,False,False,True
84,html-slider-response,0.0,5,q,Walktofront,Default,WalktofrontSayexcuseme,WalktofrontStepinfront,False,50.0,0.0,1.0,0.0,100.0,50.0,100.0,0.0,False,True,True,False
85,instructions,,5,s,Sayexcuseme,,,,,,47.0,47.0,50.0,50.0,,,,False,False,False,True
86,html-slider-response,100.0,5,q,Sayexcuseme,Permute,SayexcusemeSubjectstares,SayexcusemeSubjectstares,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,True,True,False,True
87,instructions,,5,s,Subjectstares,,,,,,48.0,48.0,50.0,50.0,,,,False,False,False,True
88,html-slider-response,0.0,5,q,Subjectstares,Alter,SubjectstaresTurntobarista,SubjectstaresTurntobarista,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False,False,True,True
89,instructions,,5,s,Turntobarista,,,,,,49.0,49.0,50.0,50.0,,,,False,False,False,True
90,html-slider-response,100.0,5,q,Turntobarista,Default,TurntobaristaDessertcrumble,TurntobaristaCreamsplash,True,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,True,True,False,True
91,instructions,,5,s,Dessertcrumble,,,,,,50.0,50.0,50.0,50.0,,,,False,False,False,True
92,instructions,,5,s,Callpoliceman,,,,,,51.0,51.0,50.0,50.0,,,,False,False,False,True
93,html-slider-response,0.0,5,q,Callpoliceman,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,2.0,2.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
94,instructions,,5,s,Hatecoffee,,,,,,52.0,52.0,50.0,50.0,,,,False,False,False,True
95,html-slider-response,0.0,5,q,Hatecoffee,Alter,HatecoffeeEND,HatecoffeeEND,False,100.0,3.0,3.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
96,instructions,,5,s,END,,,,,,53.0,53.0,50.0,50.0,,,,False,False,False,True
97,instructions,,6,s,BEGIN,,,,,,54.0,54.0,50.0,50.0,,,,False,False,False,True
98,html-slider-response,0.0,6,q,BEGIN,Default,BEGINWalktofront,BEGINWalktoback,True,40.0,2.0,3.0,40.0,60.0,40.0,40.0,60.0,False,True,True,False
99,instructions,,6,s,Walktofront,,,,,,55.0,55.0,50.0,50.0,,,,False,False,False,True
100,html-slider-response,100.0,6,q,Walktofront,Default,WalktofrontSayexcuseme,WalktofrontStepinfront,True,50.0,1.0,1.0,50.0,50.0,50.0,50.0,50.0,True,True,True,True
101,instructions,,6,s,Sayexcuseme,,,,,,56.0,56.0,50.0,50.0,,,,False,False,False,True
102,html-slider-response,0.0,6,q,Sayexcuseme,Default,SayexcusemeShove,SayexcusemeSubjectstares,True,44.0,1.0,1.0,50.0,50.0,44.0,50.0,50.0,False,True,True,False
103,instructions,,6,s,Shove,,,,,,57.0,57.0,50.0,50.0,,,,False,False,False,True
104,html-slider-response,100.0,6,q,Shove,Permute,ShoveXstare,ShoveXstare,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,True,True,False,True
105,instructions,,6,s,Xstare,,,,,,58.0,58.0,50.0,50.0,,,,False,False,False,True
106,html-slider-response,0.0,6,q,Xstare,Permute,XstareDessertcrumble,XstareDessertcrumble,True,100.0,3.0,3.0,50.0,50.0,100.0,50.0,50.0,False,True,True,False
107,instructions,,6,s,Dessertcrumble,,,,,,59.0,59.0,50.0,50.0,,,,False,False,False,True
108,html-slider-response,0.0,6,q,Dessertcrumble,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,False,90.0,3.0,2.0,60.0,40.0,10.0,40.0,60.0,False,True,True,False
109,instructions,,6,s,Baristaorders,,,,,,60.0,60.0,50.0,50.0,,,,False,False,False,True
110,instructions,,6,s,Lovejuice,,,,,,61.0,61.0,50.0,50.0,,,,False,False,False,True
111,html-slider-response,100.0,6,q,Lovejuice,Alter,LovejuiceEND,LovejuiceEND,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
112,instructions,,6,s,END,,,,,,62.0,62.0,50.0,50.0,,,,False,False,False,True
113,instructions,,7,s,BEGIN,,,,,,63.0,63.0,50.0,50.0,,,,False,False,False,True
114,html-slider-response,0.0,7,q,BEGIN,Default,BEGINWalktofront,BEGINWalktoback,False,40.0,3.0,3.0,50.0,50.0,60.0,50.0,50.0,False,True,True,False
115,instructions,,7,s,Walktofront,,,,,,64.0,64.0,50.0,50.0,,,,False,False,False,True
116,html-slider-response,0.0,7,q,Walktofront,Default,WalktofrontStepinfront,WalktofrontSayexcuseme,True,50.0,1.0,2.0,33.33333333333333,66.66666666666666,50.0,33.33333333333333,66.66666666666666,False,True,True,False
117,instructions,,7,s,Stepinfront,,,,,,65.0,65.0,50.0,50.0,,,,False,False,False,True
118,html-slider-response,0.0,7,q,Stepinfront,Default,StepinfrontSubjectstares,StepinfrontIgnore,True,55.0,0.0,3.0,0.0,100.0,55.0,0.0,100.0,False,True,False,False
119,instructions,,7,s,Subjectstares,,,,,,66.0,66.0,50.0,50.0,,,,False,False,False,True
120,html-slider-response,100.0,7,q,Subjectstares,Default,SubjectstaresTurntobarista,SubjectstaresXstare,True,85.0,1.0,0.0,100.0,0.0,85.0,100.0,0.0,True,True,True,True
121,instructions,,7,s,Turntobarista,,,,,,67.0,67.0,50.0,50.0,,,,False,False,False,True
122,html-slider-response,0.0,7,q,Turntobarista,Default,TurntobaristaCreamsplash,TurntobaristaDessertcrumble,True,50.0,0.0,1.0,0.0,100.0,50.0,0.0,100.0,False,True,False,False
123,instructions,,7,s,Creamsplash,,,,,,68.0,68.0,50.0,50.0,,,,False,False,False,True
124,html-slider-response,0.0,7,q,Creamsplash,Alter,CreamsplashBaristaorders,CreamsplashBaristaorders,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,False,False,True,True
125,instructions,,7,s,Baristaorders,,,,,,69.0,69.0,50.0,50.0,,,,False,False,False,True
126,html-slider-response,100.0,7,q,Baristaorders,Default,BaristaordersLovejuice,BaristaordersHatecoffee,True,70.0,1.0,1.0,50.0,50.0,70.0,50.0,50.0,True,True,True,True
127,instructions,,7,s,Lovejuice,,,,,,70.0,70.0,50.0,50.0,,,,False,False,False,True
128,instructions,,7,s,END,,,,,,71.0,71.0,50.0,50.0,,,,False,False,False,True
129,instructions,,8,s,BEGIN,,,,,,72.0,72.0,50.0,50.0,,,,False,False,False,True
130,html-slider-response,0.0,8,q,BEGIN,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,3.0,4.0,42.857142857142854,57.14285714285714,60.0,42.857142857142854,57.14285714285714,False,True,True,False
131,instructions,,8,s,Walktoback,,,,,,73.0,73.0,50.0,50.0,,,,False,False,False,True
132,instructions,,8,s,Stepinfront,,,,,,74.0,74.0,50.0,50.0,,,,False,False,False,True
133,html-slider-response,100.0,8,q,Stepinfront,Default,StepinfrontSubjectstares,StepinfrontIgnore,True,55.0,1.0,3.0,25.0,75.0,55.0,25.0,75.0,True,True,True,True
134,instructions,,8,s,Subjectstares,,,,,,75.0,75.0,50.0,50.0,,,,False,False,False,True
135,html-slider-response,100.0,8,q,Subjectstares,Default,SubjectstaresTurntobarista,SubjectstaresXshove,False,66.0,2.0,0.0,100.0,0.0,34.0,0.0,100.0,True,True,False,True
136,instructions,,8,s,Turntobarista,,,,,,76.0,76.0,50.0,50.0,,,,False,False,False,True
137,html-slider-response,100.0,8,q,Turntobarista,Default,TurntobaristaCreamsplash,TurntobaristaDessertcrumble,True,50.0,1.0,1.0,50.0,50.0,50.0,50.0,50.0,True,True,True,True
138,instructions,,8,s,Creamsplash,,,,,,77.0,77.0,50.0,50.0,,,,False,False,False,True
139,html-slider-response,100.0,8,q,Creamsplash,Default,CreamsplashCallpoliceman,CreamsplashBaristaorders,False,90.0,0.0,1.0,0.0,100.0,10.0,100.0,0.0,True,True,True,True
140,instructions,,8,s,Callpoliceman,,,,,,78.0,78.0,50.0,50.0,,,,False,False,False,True
141,html-slider-response,100.0,8,q,Callpoliceman,Permute,CallpolicemanLovejuice,CallpolicemanLovejuice,True,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,True,True,False,True
142,instructions,,8,s,Lovejuice,,,,,,79.0,79.0,50.0,50.0,,,,False,False,False,True
143,html-slider-response,100.0,8,q,Lovejuice,Alter,LovejuiceEND,LovejuiceEND,True,100.0,3.0,3.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
144,instructions,,8,s,END,,,,,,80.0,80.0,50.0,50.0,,,,False,False,False,True
145,instructions,,9,s,BEGIN,,,,,,81.0,81.0,50.0,50.0,,,,False,False,False,True
146,instructions,,9,s,Walktofront,,,,,,82.0,82.0,50.0,50.0,,,,False,False,False,True
147,html-slider-response,100.0,9,q,Walktofront,Permute,WalktofrontStepinfront,WalktofrontStepinfront,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
148,instructions,,9,s,Stepinfront,,,,,,83.0,83.0,50.0,50.0,,,,False,False,False,True
149,html-slider-response,100.0,9,q,Stepinfront,Permute,StepinfrontSubjectstares,StepinfrontSubjectstares,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
150,instructions,,9,s,Subjectstares,,,,,,84.0,84.0,50.0,50.0,,,,False,False,False,True
151,html-slider-response,0.0,9,q,Subjectstares,Default,SubjectstaresXshove,SubjectstaresTurntobarista,True,33.0,0.0,3.0,0.0,100.0,33.0,0.0,100.0,False,True,False,False
152,instructions,,9,s,Xshove,,,,,,85.0,85.0,50.0,50.0,,,,False,False,False,True
153,html-slider-response,100.0,9,q,Xshove,Permute,XshoveDessertcrumble,XshoveDessertcrumble,True,100.0,2.0,2.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
154,instructions,,9,s,Dessertcrumble,,,,,,86.0,86.0,50.0,50.0,,,,False,False,False,True
155,html-slider-response,0.0,9,q,Dessertcrumble,Alter,DessertcrumbleBaristaorders,DessertcrumbleBaristaorders,False,100.0,4.0,4.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
156,instructions,,9,s,Baristaorders,,,,,,87.0,87.0,50.0,50.0,,,,False,False,False,True
157,html-slider-response,0.0,9,q,Baristaorders,Default,BaristaordersLovejuice,BaristaordersHatecoffee,True,70.0,2.0,1.0,66.66666666666666,33.33333333333333,70.0,66.66666666666666,33.33333333333333,False,True,True,False
158,instructions,,9,s,Lovejuice,,,,,,88.0,88.0,50.0,50.0,,,,False,False,False,True
159,html-slider-response,0.0,9,q,Lovejuice,Alter,LovejuiceEND,LovejuiceEND,False,100.0,4.0,4.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
160,instructions,,9,s,END,,,,,,89.0,89.0,50.0,50.0,,,,False,False,False,True
161,instructions,,10,s,BEGIN,,,,,,90.0,90.0,50.0,50.0,,,,False,False,False,True
162,html-slider-response,0.0,10,q,BEGIN,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,4.0,4.0,50.0,50.0,60.0,50.0,50.0,False,True,True,False
163,instructions,,10,s,Walktoback,,,,,,91.0,91.0,50.0,50.0,,,,False,False,False,True
164,html-slider-response,100.0,10,q,Walktoback,Permute,WalktobackStepinfront,WalktobackStepinfront,True,100.0,3.0,3.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
165,instructions,,10,s,Stepinfront,,,,,,92.0,92.0,50.0,50.0,,,,False,False,False,True
166,html-slider-response,100.0,10,q,Stepinfront,Permute,StepinfrontSubjectstares,StepinfrontSubjectstares,True,100.0,3.0,3.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
167,instructions,,10,s,Subjectstares,,,,,,93.0,93.0,50.0,50.0,,,,False,False,False,True
168,html-slider-response,0.0,10,q,Subjectstares,Permute,SubjectstaresXshove,SubjectstaresXshove,False,100.0,1.0,1.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
169,instructions,,10,s,Xshove,,,,,,94.0,94.0,50.0,50.0,,,,False,False,False,True
170,html-slider-response,0.0,10,q,Xshove,Default,XshoveDessertcrumble,XshoveCreamsplash,True,35.0,3.0,0.0,100.0,0.0,35.0,100.0,0.0,False,True,True,False
171,instructions,,10,s,Dessertcrumble,,,,,,95.0,95.0,50.0,50.0,,,,False,False,False,True
172,html-slider-response,0.0,10,q,Dessertcrumble,Default,DessertcrumbleBaristaorders,DessertcrumbleCallpoliceman,False,90.0,5.0,2.0,71.42857142857143,28.57142857142857,10.0,28.57142857142857,71.42857142857143,False,True,True,False
173,instructions,,10,s,Baristaorders,,,,,,96.0,96.0,50.0,50.0,,,,False,False,False,True
174,html-slider-response,0.0,10,q,Baristaorders,Permute,BaristaordersLovejuice,BaristaordersLovejuice,True,100.0,3.0,3.0,50.0,50.0,100.0,50.0,50.0,False,True,True,False
175,instructions,,10,s,Lovejuice,,,,,,97.0,97.0,50.0,50.0,,,,False,False,False,True
176,html-slider-response,0.0,10,q,Lovejuice,Alter,LovejuiceEND,LovejuiceEND,False,100.0,5.0,5.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
177,instructions,,10,s,END,,,,,,98.0,98.0,50.0,50.0,,,,False,False,False,True
178,instructions,,11,s,BEGIN,,,,,,99.0,99.0,50.0,50.0,,,,False,False,False,True
179,html-slider-response,100.0,11,q,BEGIN,Default,BEGINWalktoback,BEGINWalktofront,True,60.0,5.0,4.0,55.55555555555556,44.44444444444444,60.0,55.55555555555556,44.44444444444444,True,True,True,True
180,instructions,,11,s,Walktoback,,,,,,100.0,100.0,50.0,50.0,,,,False,False,False,True
181,html-slider-response,100.0,11,q,Walktoback,Default,WalktobackStepinfront,WalktobackSayexcuseme,True,40.0,4.0,0.0,100.0,0.0,40.0,100.0,0.0,True,True,True,True
182,instructions,,11,s,Stepinfront,,,,,,101.0,101.0,50.0,50.0,,,,False,False,False,True
183,html-slider-response,100.0,11,q,Stepinfront,Permute,StepinfrontSubjectstares,StepinfrontSubjectstares,True,100.0,4.0,4.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
184,instructions,,11,s,Subjectstares,,,,,,102.0,102.0,50.0,50.0,,,,False,False,False,True
185,html-slider-response,0.0,11,q,Subjectstares,Default,SubjectstaresXstare,SubjectstaresTurntobarista,False,14.0,0.0,3.0,0.0,100.0,86.0,100.0,0.0,False,True,True,False
186,instructions,,11,s,Xstare,,,,,,103.0,103.0,50.0,50.0,,,,False,False,False,True
187,html-slider-response,100.0,11,q,Xstare,Default,XstareCreamsplash,XstareDessertcrumble,False,50.0,0.0,4.0,0.0,100.0,50.0,100.0,0.0,True,True,True,True
188,instructions,,11,s,Creamsplash,,,,,,104.0,104.0,50.0,50.0,,,,False,False,False,True
189,html-slider-response,100.0,11,q,Creamsplash,Alter,CreamsplashCallpoliceman,CreamsplashCallpoliceman,True,100.0,1.0,1.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
190,instructions,,11,s,Callpoliceman,,,,,,105.0,105.0,50.0,50.0,,,,False,False,False,True
191,html-slider-response,0.0,11,q,Callpoliceman,Permute,CallpolicemanHatecoffee,CallpolicemanHatecoffee,False,100.0,3.0,3.0,50.0,50.0,0.0,50.0,50.0,False,False,True,True
192,instructions,,11,s,Hatecoffee,,,,,,106.0,106.0,50.0,50.0,,,,False,False,False,True
193,html-slider-response,100.0,11,q,Hatecoffee,Alter,HatecoffeeEND,HatecoffeeEND,True,100.0,4.0,4.0,50.0,50.0,100.0,50.0,50.0,True,True,True,True
194,instructions,,11,s,END,,,,,,107.0,107.0,50.0,50.0,,,,False,False,False,True
195,instructions,,12,s,BEGIN,,,,,,108.0,108.0,50.0,50.0,,,,False,False,False,True
196,html-slider-response,100.0,12,q,BEGIN,Default,BEGINWalktofront,BEGINWalktoback,True,40.0,4.0,6.0,40.0,60.0,40.0,40.0,60.0,True,True,True,True
197,instructions,,12,s,Walktofront,,,,,,109.0,109.0,50.0,50.0,,,,False,False,False,True
