"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","response"
"","4133","html-slider-response","153","799757","0.0-153.0","100"
"[{""page_index"":0,""viewing_time"":873}]","873","instructions","154","800885","0.0-154.0",""
"","3144","html-slider-response","155","804281","0.0-155.0","0"
"[{""page_index"":0,""viewing_time"":736}]","736","instructions","156","805269","0.0-156.0",""
"","7308","html-slider-response","157","812829","0.0-157.0","0"
"[{""page_index"":0,""viewing_time"":875}]","875","instructions","158","813957","0.0-158.0",""
"","4485","html-slider-response","159","818693","0.0-159.0","0"
"[{""page_index"":0,""viewing_time"":1029}]","1029","instructions","160","819973","0.0-160.0",""
"[{""page_index"":0,""viewing_time"":3484}]","3485","instructions","161","823709","0.0-161.0",""
"","7376","html-slider-response","162","831340","0.0-162.0","0"
"[{""page_index"":0,""viewing_time"":1634}]","1634","instructions","163","833228","0.0-163.0",""
"","4290","html-slider-response","164","837772","0.0-164.0","100"
"[{""page_index"":0,""viewing_time"":585}]","585","instructions","165","838612","0.0-165.0",""
"","4417","html-slider-response","166","843280","0.0-166.0","100"
"[{""page_index"":0,""viewing_time"":558}]","558","instructions","167","844092","0.0-167.0",""
"","6173","html-slider-response","168","850520","0.0-168.0","0"
"[{""page_index"":0,""viewing_time"":615}]","615","instructions","169","851388","0.0-169.0",""
"","4732","html-slider-response","170","856376","0.0-170.0","0"
"[{""page_index"":0,""viewing_time"":1175}]","1175","instructions","171","857803","0.0-171.0",""
"","3827","html-slider-response","172","861884","0.0-172.0","0"
"[{""page_index"":0,""viewing_time"":971}]","971","instructions","173","863107","0.0-173.0",""
"","7250","html-slider-response","174","870611","0.0-174.0","0"
"[{""page_index"":0,""viewing_time"":4482}]","4482","instructions","175","875347","0.0-175.0",""
"","5243","html-slider-response","176","880843","0.0-176.0","0"
"[{""page_index"":0,""viewing_time"":1260}]","1260","instructions","177","882355","0.0-177.0",""
"[{""page_index"":0,""viewing_time"":1469}]","1469","instructions","178","884075","0.0-178.0",""
"","9153","html-slider-response","179","893483","0.0-179.0","100"
"[{""page_index"":0,""viewing_time"":1864}]","1864","instructions","180","895603","0.0-180.0",""
"","5002","html-slider-response","181","900858","0.0-181.0","100"
